VendorName,TotalPurchaseDollars,PurchaseContribution%
ADAMBA IMPORTS INTL INC,446.16,0.0
ALISA CARR BEVERAGES,25698.12,0.01
ALTAMAR BRANDS LLC,11706.199999999999,0.0
AMERICAN SPIRITS EXCHANGE,934.08,0.0
AMERICAN VINTAGE BEVERAGE,104435.68,0.03
ATLANTIC IMPORTING COMPANY,41116.32,0.01
BACARDI USA INC,17432020.26,5.67
BANFI PRODUCTS CORP,1608143.72,0.52
BLACK PRINCE DISTILLERY INC,5854.94,0.0
BLACK ROCK SPIRITS LLC,1152.1,0.0
BRONCO WINE COMPANY,1748.26,0.0
BROWN-FORMAN CORP,13238939.18,4.31
BULLY BOY DISTILLERS,53798.64,0.02
CALEDONIA SPIRITS INC,221250.02000000002,0.07
CAMPARI AMERICA,4052963.68,1.32
CANDIA VINEYARDS,36588.01,0.01
CAPSTONE INTERNATIONAL,54.64,0.0
CASTLE BRANDS CORP.,1626446.23,0.53
CENTEUR IMPORTS LLC,4292.83,0.0
CHARLES JACQUIN ET CIE INC,325229.02,0.11
CONSTELLATION BRANDS INC,15273708.08,4.97
CRUSH WINES,220914.0,0.07
Circa Wines,21538.53,0.01
DELICATO VINEYARDS INC,1494318.8900000001,0.49
DIAGEO CHATEAU ESTATE WINES,1279691.73,0.42
DIAGEO NORTH AMERICA INC,50097226.16,16.3
DISARONNO INTERNATIONAL LLC,1141947.85,0.37
DJINN SPIRITS LLC,38735.329999999994,0.01
DUGGANS DISTILLED PRODUCTS,133190.34,0.04
Dunn Wine Brokers,58381.75,0.02
E & J GALLO WINERY,12068539.22,3.93
EDRINGTON AMERICAS,1878614.18,0.61
FABRIZIA SPIRITS LLC,169240.0,0.06
FANTASY FINE WINES CORP,128.64,0.0
FLAG HILL WINERY & VINEYARD,300403.2,0.1
FLAVOR ESSENCE INC,17.0,0.0
FORTUNE WINE BROKERS LLC,39273.75,0.01
FREDERICK WILDMAN & SONS,602133.6799999999,0.2
FULCHINO VINEYARD INC,11147.77,0.0
HAUNTING WHISPER VYDS,5388.58,0.0
HEAVEN HILL DISTILLERIES,2644130.1,0.86
HIGHLAND WINE MERCHANTS LLC,775.44,0.0
"HOOD RIVER DISTILLERS, Inc.",24035.96,0.01
INCREDIBREW INC,24525.84,0.01
"IRA GOLDMAN AND WILLIAMS, LLP",190.88,0.0
JEWELL TOWNE VINEYARDS,54332.37,0.02
JIM BEAM BRANDS COMPANY,23494304.32,7.64
KLIN SPIRITS LLC,103484.29,0.03
KOBRAND CORPORATION,1741559.47,0.57
LABELLE VYDS AND WINERY,135621.05,0.04
LAIRD & CO,96527.28,0.03
LATITUDE BEVERAGE COMPANY,309146.24,0.1
LUXCO INC,1862411.01,0.61
M S WALKER INC,9764312.6,3.18
MAJESTIC FINE WINES,3505853.11,1.14
MANGO BOTTLING INC,204510.38,0.07
MARSALLE COMPANY,164034.53,0.05
MARTIGNETTI COMPANIES,25502095.83,8.3
MCCORMICK DISTILLING CO,254630.94,0.08
MHW LTD,1600532.8699999999,0.52
MILTONS DISTRIBUTING CO,1432.32,0.0
MOET HENNESSY USA INC,9250580.36,3.01
MOONLIGHT MEADERY,71357.59,0.02
NICHE W & S,59780.97,0.02
OLE SMOKY DISTILLERY LLC,387622.69,0.13
PALM BAY INTERNATIONAL INC,2546769.05,0.83
PARK STREET IMPORTS LLC,46238.950000000004,0.02
PERFECTA WINES,4619722.66,1.5
PERNOD RICARD USA,23851164.17,7.76
PHILLIPS PRODUCTS CO.,329509.32,0.11
PINE STATE TRADING CO,2865890.04,0.93
POVERTY LANE ORCHARDS,45269.01,0.01
PREMIER DISTRIBUTORS,80378.96,0.03
"PREMIUM PORT WINES, INC.",59760.740000000005,0.02
PROXIMO SPIRITS INC.,7331096.34,2.39
PSP WINES,117552.55,0.04
R.P.IMPORTS INC,18425.33,0.01
REMY COINTREAU USA INC,3130918.49,1.02
Russian Standard Vodka,72927.58,0.02
SAZERAC CO INC,9714369.07,3.16
SAZERAC NORTH AMERICA INC.,3504979.06,1.14
SEA BREEZE CELLARS LLC,78426.74,0.03
SEA HAGG DISTILLERY LLC,114125.74,0.04
SHAW ROSS INT L IMP LTD,596585.0,0.19
SIDNEY FRANK IMPORTING CO,1715908.8800000001,0.56
SILVER MOUNTAIN CIDERS,77.17999999999999,0.0
SMOKY QUARTZ DISTILLERY LLC,26076.35,0.01
SOUTHERN GLAZERS W&S OF NE,27041.64,0.01
SOUTHERN WINE & SPIRITS NE,3430367.42,1.12
STAR INDUSTRIES INC.,2452.29,0.0
STATE WINE & SPIRITS,1455770.99,0.47
STE MICHELLE WINE ESTATES,3072111.15,1.0
STELLAR IMPORTING CO LLC,23529.16,0.01
"STOLI GROUP,(USA) LLC",3405741.88,1.11
SURVILLE ENTERPRISES CORP,42954.48,0.01
SWEET BABY VINEYARD,140577.9,0.05
SWEETWATER FARM,19716.41,0.01
Serralles Usa LLC,135637.15,0.04
TAKARA SAKE USA INC,45289.34,0.01
TALL SHIP DISTILLERY LLC,31160.5,0.01
TAMWORTH DISTILLING,23863.84,0.01
THE IMPORTED GRAPE LLC,12379.45,0.0
THE PIERPONT GROUP LLC,5249.87,0.0
TREASURY WINE ESTATES,2884603.55,0.94
TRINCHERO FAMILY ESTATES,2154699.95,0.7
TY KU LLC,13068.460000000001,0.0
ULTRA BEVERAGE COMPANY LLP,11167081.61,3.63
UNCORKED,118.74,0.0
VINEDREA WINES LLC,4657.599999999999,0.0
VINEXTRA INC,88185.72,0.03
VINEYARD BRANDS INC,1175591.29,0.38
VINILANDIA USA,501087.21,0.16
VRANKEN AMERICA,207317.5,0.07
WALPOLE MTN VIEW WINERY,9292.31,0.0
WEIN BAUER INC,42694.64000000001,0.01
WESTERN SPIRITS BEVERAGE CO,298416.86,0.1
WILLIAM GRANT & SONS INC,5876538.26,1.91
WINE GROUP INC,5203801.17,1.69
ZORVINO VINEYARDS,86122.71,0.03
